=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR write reload t=1271 val=0000 apply=1272
TMR write control t=1271 val=0000 apply=1272 width=4 addr=04000102
TMR apply reload t=1272 val=0000
TMR apply control t=1272 old=0000 new=0000 running=0 counter=0000 next=18446744073709551615
TMR disabled t=1272 counter=0000
TMR write control t=1418568 val=0000 apply=1418569 width=2 addr=04000102
TMR apply control t=1418569 old=0000 new=0000 running=0 counter=0000 next=18446744073709551615
TMR disabled t=1418569 counter=0000
TMR write reload t=1418745 val=FB1A apply=1418746
TMR apply reload t=1418746 val=FB1A
TMR write control t=1600377 val=0080 apply=1600378 width=2 addr=04000102
TMR apply control t=1600378 old=0000 new=0080 running=0 counter=0000 next=18446744073709551615
TMR enabled t=1600378 counter=FB1A reload=FB1A offset=0 next=1601633
TMR overflow t=0 cyc=1601633 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1602887 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1604141 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1605395 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1606649 cnt=0000 reload=FB1A ctl=0080
TMR disable write suite=-1 test=-1 sub=-1 info=00000000 t=1606714 counter=FB5B ctrl=0080 pending=0000 apply=1606715
TMR write control t=1606714 val=0000 apply=1606716 width=2 addr=04000102
TMR apply control t=1606716 old=0080 new=0000 running=0 counter=FB5B next=18446744073709551615
TMR disabled t=1606716 counter=FB5B
TMR write reload t=1606891 val=FB1A apply=1606892
TMR apply reload t=1606892 val=FB1A
TMR write control t=1881273 val=0080 apply=1881274 width=2 addr=04000102
TMR apply control t=1881274 old=0000 new=0080 running=0 counter=FB5B next=18446744073709551615
TMR enabled t=1881274 counter=FB1A reload=FB1A offset=0 next=1882529
TMR overflow t=0 cyc=1882529 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1883783 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1885037 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1886291 cnt=0000 reload=FB1A ctl=0080
CPU enter IRQ cyc=1887333 pc=00002D62 cpsr=2000007F return=00002D66
TMR overflow t=0 cyc=1887545 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1888799 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1890053 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1891307 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1892561 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1893815 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1895069 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1896323 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1897577 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1898831 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1900085 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1901339 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1902593 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1903847 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1905101 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1906355 cnt=0000 reload=FB1A ctl=0080
