=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR write reload t=1408 val=0000 apply=1409
TMR write control t=1408 val=0000 apply=1409 width=4 addr=04000102
TMR apply reload t=1409 val=0000
TMR apply control t=1409 old=0000 new=0000 running=0 counter=0000 next=18446744073709551615
TMR disabled t=1409 counter=0000
TMR write control t=2210347 val=0000 apply=2210348 width=2 addr=04000102
TMR apply control t=2210348 old=0000 new=0000 running=0 counter=0000 next=18446744073709551615
TMR disabled t=2210348 counter=0000
TMR write reload t=2210734 val=FB1A apply=2210735
TMR apply reload t=2210735 val=FB1A
TMR write control t=2443067 val=0080 apply=2443068 width=2 addr=04000102
TMR apply control t=2443068 old=0000 new=0080 running=0 counter=0000 next=18446744073709551615
TMR enabled t=2443068 counter=FB1A reload=FB1A offset=0 next=2444323
TMR overflow t=0 cyc=2444323 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2445577 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2446831 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2448085 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2449339 cnt=0000 reload=FB1A ctl=0080
TMR disable write suite=-1 test=-1 sub=-1 info=00000000 t=2449934 counter=FD6D ctrl=0080 pending=0000 apply=2449935
TMR write control t=2449934 val=0000 apply=2449936 width=2 addr=04000102
TMR apply control t=2449936 old=0080 new=0000 running=0 counter=FD6D next=18446744073709551615
TMR disabled t=2449936 counter=FD6D
TMR write reload t=2450321 val=FB1A apply=2450322
TMR apply reload t=2450322 val=FB1A
TMR write control t=2723961 val=0080 apply=2723962 width=2 addr=04000102
TMR apply control t=2723962 old=0000 new=0080 running=0 counter=FD6D next=18446744073709551615
TMR enabled t=2723962 counter=FB1A reload=FB1A offset=0 next=2725217
TMR overflow t=0 cyc=2725217 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2726471 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2727725 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2728979 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2730233 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2731487 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2732741 cnt=0000 reload=FB1A ctl=0080
CPU enter IRQ cyc=2733050 pc=00002D62 cpsr=2000007F return=00002D66
TMR overflow t=0 cyc=2733995 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2735249 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2736503 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2737757 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2739011 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2740265 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2741519 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2742773 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2744027 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2745281 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2746535 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2747789 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2749043 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2750297 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2751551 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2752805 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2754059 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2755313 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2756567 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2757821 cnt=0000 reload=FB1A ctl=0080
