=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR write reload t=1249 val=0000 apply=1250
TMR write control t=1249 val=0000 apply=1250 width=4 addr=04000102
TMR apply reload t=1250 val=0000
TMR apply control t=1250 old=0000 new=0000 running=0 counter=0000 next=18446744073709551615
TMR disabled t=1250 counter=0000
TMR write control t=1405047 val=0000 apply=1405048 width=2 addr=04000102
TMR apply control t=1405048 old=0000 new=0000 running=0 counter=0000 next=18446744073709551615
TMR disabled t=1405048 counter=0000
TMR write reload t=1405223 val=FB1A apply=1405224
TMR apply reload t=1405224 val=FB1A
TMR write control t=1600379 val=0080 apply=1600380 width=2 addr=04000102
TMR apply control t=1600380 old=0000 new=0080 running=0 counter=0000 next=18446744073709551615
TMR enabled t=1600380 counter=FB1A reload=FB1A offset=0 next=1601635
TMR overflow t=0 cyc=1601635 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1602889 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1604143 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1605397 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1606651 cnt=0000 reload=FB1A ctl=0080
TMR disable write suite=-1 test=-1 sub=-1 info=00000000 t=1606712 counter=FB57 ctrl=0080 pending=0000 apply=1606713
TMR write control t=1606712 val=0000 apply=1606714 width=2 addr=04000102
TMR apply control t=1606714 old=0080 new=0000 running=0 counter=FB57 next=18446744073709551615
TMR disabled t=1606714 counter=FB57
TMR write reload t=1606888 val=FB1A apply=1606889
TMR apply reload t=1606889 val=FB1A
TMR write control t=1881277 val=0080 apply=1881278 width=2 addr=04000102
TMR apply control t=1881278 old=0000 new=0080 running=0 counter=FB57 next=18446744073709551615
TMR enabled t=1881278 counter=FB1A reload=FB1A offset=0 next=1882533
TMR overflow t=0 cyc=1882533 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1883787 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1885041 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1886295 cnt=0000 reload=FB1A ctl=0080
CPU enter IRQ cyc=1887132 pc=00002D62 cpsr=2000007F return=00002D66
TMR overflow t=0 cyc=1887549 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1888803 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1890057 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1891311 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1892565 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1893819 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1895073 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1896327 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1897581 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1898835 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1900089 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1901343 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1902597 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1903851 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1905105 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1906359 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1907613 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1908867 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1910121 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1911375 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1912629 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1913883 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1915137 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1916391 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1917645 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1918899 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1920153 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1921407 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1922661 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1923915 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1925169 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1926423 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1927677 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1928931 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1930185 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1931439 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1932693 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1933947 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1935201 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1936455 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1937709 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1938963 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1940217 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1941471 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1942725 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1943979 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1945233 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1946487 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1947741 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1948995 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1950249 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1951503 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1952757 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1954011 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1955265 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1956519 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1957773 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1959027 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1960281 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1961535 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1962789 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1964043 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1965297 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1966551 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1967805 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1969059 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1970313 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1971567 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1972821 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1974075 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1975329 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1976583 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1977837 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1979091 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1980345 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1981599 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1982853 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1984107 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1985361 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1986615 cnt=0000 reload=FB1A ctl=0080
